City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,bor,56.3567,44.0669,-13.04,92,89,2.25,RU,1707567547
300,flying fish cove,-10.4217,105.6791,26.82,83,40,2.06,CX,1707567547
301,flin flon,54.7682,-101.865,-10.09,85,100,2.06,CA,1707567547
302,dazhong,33.1997,120.4578,6.87,76,47,2.82,CN,1707567547
303,port-gentil,-0.7193,8.7815,28.37,77,60,3.63,GA,1707567547
304,mirny,62.5353,113.9611,-36.27,100,94,1.27,RU,1707567547
305,dikhil,11.5,42.1667,30.21,38,43,6.21,DJ,1707567548
306,guerrero negro,27.9769,-114.0611,14.89,68,91,5.32,MX,1707567548
307,port-cartier,50.0334,-66.8654,-2.88,98,100,2.12,CA,1707567548
308,red hill,33.9996,-79.2581,13.84,22,98,2.86,US,1707567548
309,mount isa,-20.7333,139.5,26.87,65,75,1.03,AU,1707567548
310,colonia,50.9333,6.95,14.41,78,75,4.63,DE,1707567548
311,upper dir,35.2058,71.8756,10.69,43,0,0.54,PK,1707567430
312,gebeit,21.0667,36.3167,26.61,25,53,4.85,SD,1707567548
313,armacao de buzios,-22.7469,-41.8817,28.03,69,42,3.21,BR,1707567548
314,port douglas,-16.4833,145.4667,27.03,75,40,2.96,AU,1707567548
315,saint-pierre,-21.3393,55.4781,26.82,83,75,1.03,RE,1707567505
316,chibougamau,49.9168,-74.3659,0.79,93,100,3.6,CA,1707567549
317,novyy turtkul',41.55,61.0167,14.95,43,81,6.31,UZ,1707567549
318,santa cruz,-17.8,-63.1667,25.03,83,75,4.12,BO,1707567549
319,kiunga,-6.1219,141.2906,25.07,96,98,0.78,PG,1707567549
320,porto novo,6.4965,2.6036,31.9,49,11,4.75,BJ,1707567549
321,san andres,12.5847,-81.7006,27.01,69,20,3.09,CO,1707567549
322,kalianget,-7.05,113.9333,26.75,83,91,1.78,ID,1707567549
323,tamanrasset,22.785,5.5228,23.95,8,0,4.12,DZ,1707567549
324,afaahiti,-17.75,-149.2833,24.93,93,100,9.47,PF,1707567549
325,cidreira,-30.1811,-50.2056,27.52,68,55,3.69,BR,1707567549
326,phan thiet,10.9333,108.1,25.99,69,56,10.06,VN,1707567550
327,craig,40.5153,-107.5464,-10.21,92,100,1.54,US,1707567343
328,el calafate,-50.3408,-72.2768,12.52,58,31,2.85,AR,1707567550
329,howard springs,-12.497,131.047,28.95,95,91,1.64,AU,1707567550
330,naze,28.3667,129.4833,12.51,59,4,6.47,JP,1707567550
331,santiago de veraguas,8.1,-80.9833,22.0,76,51,0.89,PA,1707567409
332,ancud,-41.8697,-73.8203,13.68,81,58,1.65,CL,1707567550
333,port-vila,-17.7338,168.3219,26.78,89,100,3.09,VU,1707567550
334,hunucma,21.0167,-89.8667,19.41,84,0,5.43,MX,1707567550
335,kingston,17.997,-76.7936,24.53,79,75,5.14,JM,1707567320
336,san fernando,15.0286,120.6898,27.85,70,69,1.46,PH,1707567550
337,petauke,-14.2426,31.3253,29.95,43,16,0.15,ZM,1707567264
